start	end	text
787900	789900	we can upload our own file so upload
789900	791900	okay and here I will say that
791900	793900	to upload
793900	795900	Hindi is okay import
795900	797900	so to import what we have to give
797900	799900	we have to give srt file
799900	801900	what it was like
801900	803900	let's go back so it says
803900	805900	that yeah so we can upload srt file
805900	807900	so let's upload this file
807900	809900	okay I didn't do anything I
809900	811900	uploaded the file that our AI generated
811900	813900	now let's play it
813900	815900	welcome
815900	817900	so this is a sample video which will be
817900	819900	in pure Hindi and we will try
819900	821900	that we can generate subtitles
821900	823900	of this pure Hindi video
823900	825900	in English language
825900	827900	so that our non-hindi speaking audience
827900	829900	can enjoy this video
829900	831900	so let's see that this video
831900	833900	how our English subtitles
833900	835900	come out
835900	837900	so as you have already seen
837900	839900	that we were able to
839900	841900	generate subtitles
841900	843900	that is also free of cost
843900	845900	so we used whisper here
845900	847900	and for this video
847900	849900	it is a very short video in which
849900	851900	I wanted to show you how you can achieve this
851900	853900	particular thing and now what I am planning
853900	855900	is that I will make a web application
855900	857900	in which we will do this on cloud
857900	859900	so what you can do is like you can connect
859900	861900	because obviously these things are coming
861900	863900	like this will charge you money because
863900	865900	one CPU is running on the cloud
865900	867900	so like you can upload a video
867900	869900	you can pay the money and then
869900	871900	the subtitles will come out in different languages
871900	873900	so this thing was that simple to do
873900	875900	and I hope you enjoyed the video
875900	877900	if you liked the video then like and subscribe
877900	879900	do tell in the comments how did you like the video
879900	881900	see you in the next video
881900	883900	until then bye bye take care
